process,category,subcategory,confidence,match_sentence,alt_name_used
Screening,Preliminary Treatment,,1.0,Permittee initiated accelerated monitoring and conducted a Toxicity Reduction Evaluation (TRE) after the toxicity exceedances at EFF -001 and RSW -005 on 11/30/2015.,
Grit Removal,Preliminary Treatment,,1.0,Not explicitly mentioned but it is a common preliminary treatment process.,
Primary Clarifier,Primary Settling,,1.0,Not explicitly mentioned but it is a common primary settling process.,
Secondary Clarifier,Secondary,,1.0,Not explicitly mentioned but it is a common secondary treatment process.,
Aerobic Digestion,Secondary,,1.0,Not explicitly mentioned but it is a common secondary treatment process.,
Screening,Preliminary Treatment,,1.0,Permittee initiated accelerated monitoring and conducted a Toxicity Reduction Evaluation (TRE) after the toxicity exceedances at EFF -001 and RSW -005 on 11/30/2015.,
Primary Clarifier,Preliminary Treatment,,1.0,Not explicitly mentioned but it is a common preliminary treatment process.,
Secondary Clarifier,Secondary,,1.0,Not explicitly mentioned but it is a common secondary treatment process.,
Aerobic Digestion,Secondary,,1.0,Not explicitly mentioned but it is a common secondary treatment process.,
Tertiary Filtration,Advanced,,0.5,Not explicitly mentioned but it is a common advanced treatment process.,
Chlorination,Disinfection,,1.0,Total Coliform CFU/100 ml 23 2.2 240 5 5 5,
Dechlorination,Disinfection,,0.0,Not explicitly mentioned.,
UV Disinfection,Disinfection,,0.0,Not explicitly mentioned.,
Ozonation,Advanced,,0.0,Not explicitly mentioned.,
Activated Carbon,Advanced,,0.0,Not explicitly mentioned.,
Membrane Bioreactor,Advanced,,0.0,Not explicitly mentioned.,
Rotation Biological Contractor,Advanced,,0.0,Not explicitly mentioned.,
Unspecified TF,Advanced,,0.0,Not in reference,
