CWNS_ID,NPDES_PERMIT,CWNS_NAME,NPDES_NAME
06001041001,CA0022756,Crescent City WWTF,Crescent City WWTP
06002025001,CA0037648,Central Contra Costa WWTF,Central Contra Costa SD WWTP
06002058001,CA0038598,Sewer Authority Mid-Coastside WWTF,SAM WWTP (Sewer Authority Mid-Coastside WWTP)
06002082001,CA0038091,BENICIA WWTF,Benicia WWTP
06002109001,CA0038008,Livermore WRP,City of Livermore Water Reclamation Plant
06004002001,CA0053961,OJAI VALLEY SD WWTF,Ojai Valley WWTP
06004008010,CA0059099,MALIBU WWTF,Malibu Mesa WRP
06004010001,CA0109991,Hyperion WRP,Hyperion WWTP
06004010002,CA0053856,Terminal Island WRP,Terminal Island Water Reclamation Plant
06004016001,CA0054372,AVALON WWRF,Avalon WWTF
06004027001,CA0054097,Oxnard WWTP,Oxnard WWTP
06005018001,CA0077844,PORTOLA WWTF,Portola WWTP
06005024001,CAC444735,Live Oak WWTP,Live Oak City WWTP
06005035001,CAC447786,WILLOWS WWTF,Willows WWTP
06005040001,CAC448871,AUBURN WWTF,Auburn WWTP
06005054001,CAC443249,GALT WWTF,Galt WWTP & Reclamation Facility
06005105001,CA0079154,Tracy WWTP,Tracy WWTP
06005114001,CA0085146,BEAR VALLEY WWTF,Bear Valley WWTF
06005198001,CAC446876,Grass Valley WWTF,Grass Valley City WWTP
06005227001,CAC426201,Dry Creek WWTP,Dry Creek WWTP
06005249001,CAC433255,Deer Creek WWTP,Deer Creek WWTP
06005329001,CAC439621,Hangtown Creek WWTP,Hangtown Creek WRF
06005421001,CAC439955,Lake of the Pines WWTP,Lake of the Pines WWTP
06005681001,CAC439953,Lake Wildwood WWTP,Lake Wildwood WWTP
06005682001,CAC442921,Cascade Shores WWTP,Cascade Shores WWTP
06005783001,CAC439983,Stallion Springs CSD WWTF,Stallion Springs WWTF
06008012001,CA0105376,BEAUMONT WWTF,Beaumont WWTP No. 1
06008024001,CA0105236,COLTON WWTF,Colton WRF
06009031004,CA0109045,South Bay WRP,South Bay WRP
