CWNS_ID,FACILITY_NAME,raw_permit_list,NPDES_PERMIT
06001001001,TULELAKE STP,['CA0023272'],CA0023272
06001002001,MONTAGUE WWTF,['WDR 96-068'],
06001003001,WEAVERVILLE WWTF,['ORDER No. R1-2018-00'],
06001004001,Westport STF,['NO.96-28'],
06001007001,BLUE LAKE WWTF,['R1-2012-0050'],
06001011001,FORTUNA WWTF,['CA0022730'],CA0022730
06001012001,GARBERVILLE WWTF,['R1-2011-0096'],
06001013001,HOPLAND WWTF,['R1-2008-0003'],
06001016001,MIRANDA WWTF,['No. R1-2019-0002'],
06001028001,Fort Bragg WWTP,['CA0023078'],CA0023078
06001035001,CLOVERDALE WWTF,"['CA0022977', '2006-0003-DWQ']",CA0022977
06001038001,BODEGA BAY WWTF,['NO. 91-130'],
06001042001,Yreka WWTF,['CAL010509'],CAL010509
06001045003,Oakmont WWTP,['NO.88-052'],
06001047001,Arcata WWTF,['CA0022713'],CA0022713
06001048001,POINT ARENA WWTF,['R1-2022-0015'],
06001050001,CALPELLA WWTP,['ORDER No. R1-2019-00'],
06001054001,WEED WWTF,['NO.96-070'],
06001064001,DORRIS WWTF,['WDR 98-004'],
06001065001,Etna Wastewater Treatment Facility,['R1‐2015‐0026'],
06001085001,NEWELL WWTF,['WDR Order No. 97-093'],
06001096001,Geyserville WWTF,['2006-0003-DWQ'],
06001099001,LARKFIELD-WIKIUP WWTF,['No. R1-2019-0007'],
06002011001,Burlingame WWTP,['CA0037788'],CA0037788
06002032002,North Point WPCP,['CA0037664'],CA0037664
06002032003,Southeast WPCP,['CA0037664'],CA0037664
06002032005,Oceanside WPCP,['CA0037681'],CA0037681
06002034002,C & H SUGAR JOINT WWTP,['CA0005240'],CA0005240
06002038001,Fairfield-Suisun Sewer District,['CA0038024'],CA0038024
06002039001,MILLBRAE MADRONE WWTF,['CA0037532'],CA0037532
06002042001,"San Leandro, City of (WPCP)",['CA0038881'],CA0038881
06002046001,SO SF-SAN BRUNO WWTF,['CA0038130'],CA0038130
06002058001,Sewer Authority Mid-Coastside WWTF,"['R2-00-016', 'CA0038598']",CA0038598
06002060003,OCEANA MARIN WWTF,['2006-0003-DWQ'],
06002060007,Tomales WWTP,['R2-86-86 '],
06002069001,Sonoma Valley WWTF,['CA0037800'],CA0037800
