facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Avila WWTP,206888,True,4197,8560,12757,3584,
Calistoga City Dunaweal WWTP,212750,True,9715,9981,19696,8064,
City of Morro Bay Water Reclamation Facility,882248,True,15139,9407,24546,13568,
Clovis WWTF,214899,True,7222,8973,16195,6144,
Coachella Valley WD WWTP,216446,True,8808,9808,18616,7424,
Covelo POTW,215966,True,7561,9072,16633,6592,
Dunsmuir WWTP,220850,True,8846,9257,18103,7808,
EBMUD WPCP,222132,True,9271,9059,18330,7744,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,True,6068,10730,16798,4928,
Eureka City Elk River WWTP,223010,True,4952,9681,14633,4032,
Forestville Water District,224901,True,10385,10152,20537,9216,
Delleker WWTP,219530,True,7126,8946,16072,6592,
Healdsburg City WWTP,229922,True,9509,9602,19111,8064,
Holtville City WWTP,230588,True,6272,8814,15086,5312,
IEUA Regional Plant No. 1,259165,True,5384,9647,15031,4224,
IEUA Regional Plant No. 2,259166,True,4922,9647,14569,4352,
Whittier Narrows Water Reclamation Plant,235826,True,6369,8526,14895,5760,
San Jose Creek Water Reclamation Plant,260156,True,7946,8525,16471,7296,
Linda Cnty Water District WWTP,237060,True,8410,9779,18189,7360,
Malibu Mesa WRP,242162,True,8899,8977,17876,7872,
City of Manteca WW Quality Control Facility,239343,True,7365,9020,16385,6016,
Marin CSD 5 Paradise Cove WWTP,239498,True,3440,8475,11915,2944,
McKinleyville WWTP,240093,True,6627,9784,16411,6080,
Montecito SD WWTP,241288,True,8689,8768,17457,7424,
Mountain House WWTP,241598,True,7471,8377,15848,6592,
Mt. View Sanitary District WWTP,241815,True,6372,9786,16158,4992,
Nevada City WWTP,244141,True,10165,8584,18749,8832,
OCSD Plant 1,758392,True,8235,11313,19548,7296,
Palo Alto Regional WQCP,247457,True,6097,9502,15599,4992,
Redway POTW,252211,True,8626,9436,18062,7808,
Hammonton Gold Village WWTP,229559,True,6436,8347,14783,5760,
San Jose/Santa Clara WPCP,255333,True,14335,11366,25701,12544,
San Simeon WWTP,255462,True,6446,8528,14974,5696,
Saugus Water Reclamation Plant,260494,True,9106,9135,18241,8064,
Sewerage Commission Oroville Region WWTP,246251,True,7356,9014,16370,6336,
Shasta Lake WWTF,256627,True,3833,8714,12547,3072,
SVCW WWTP,255833,True,9697,9544,19241,8192,
Wastewater Recovery Center,258739,True,11294,9903,21197,9728,
Summerland SD WWTP,259377,True,5460,8499,13959,4544,
Mineral WWTP,240864,True,7041,9226,16267,6400,
Discovery Bay WWTP,220315,True,6528,9142,15670,5568,
Treasure Island WWTP/DOD,266328,True,7035,9172,16207,6080,
UC Davis Main WWTP,268926,True,4568,8627,13195,3904,
Ukiah City WWTP,268960,True,9567,9200,18767,8128,
US Navy Naval Air Facility WWTP,269449,True,6218,8820,15038,5504,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,6429,9178,15607,5504,
Watsonville WWTP,271872,True,6501,9125,15626,5504,
Woodland Water Pollution Control Facility,272960,True,6252,10807,17059,5120,
Carmel Area WWTP,213281,True,9648,9051,18699,8192,
J.B. Latham WWTP,236649,True,3825,11707,15532,3008,
Lancaster Water Reclamation Plant,236378,True,9544,10190,19734,8256,
Hilton Creek CSD Package STP,230429,True,4393,8634,13027,3968,
Clear Creek WWTP,214802,True,12121,11268,23389,10304,
EchoWater Resource Recovery Facility,254981,True,12738,10032,22770,10880,
Tesoro Viejo WWTP,817457,True,9834,9439,19273,8832,
Riverdale WWTF,273185,True,6353,8991,15344,5952,
City of San Clemente WRP,255218,True,4837,11708,16545,4096,
Civita Water Reclamation Facility,849194,True,6825,8806,15631,6336,
Housing Authority Cnty of Merced - Los Banos,240362,True,3786,8692,12478,3584,
Hyperion Advanced Water Purification Facility,888692,True,8673,10139,18812,7808,
South Entrance Wastewater Facility,826481,True,4281,8954,13235,4032,
